label	iterations	median_ns	mean_ns	stddev_ns	min_ns	max_ns
deserialize BeaconState	20	117295736	117612860	1753456	115362731	122677168
serialize BeaconState	20	3448139364	3397884993	125738352	3037957075	3521094021
htr BeaconState (pure)	20	168544359	168517488	1667164	166245385	174398295
FastBox.hashTreeRoot BeaconState (first root)	20	187564903	187929762	1421144	186162562	192404685
htr Validator ×1000	20	7598161	7601625	112573	7501741	8054646
htr BeaconBlockHeader ×1000	20	7325903	7351627	89569	7251454	7665334
htr Checkpoint ×1000	20	2241889	2248445	23298	2219741	2317875
htr Attestation ×1000	20	30449950	30723306	574052	30150168	32405191
serialize Validator ×1000	20	4064353	4078568	56132	4008750	4260425
serialize BeaconBlockHeader ×1000	20	4493997	4525346	106115	4405848	4770341
serialize Attestation ×1000	20	10865895	10935864	215840	10689619	11371309
deserialize Validator ×1000	20	3791682	3801713	110072	3666446	4005436
deserialize BeaconBlockHeader ×1000	20	4460994	4424889	202514	4073294	4863100
deserialize Attestation ×1000	20	11122393	11181531	271647	10825227	11798501
deserialize SignedBeaconBlock ×1	50	274893	276669	18954	264289	398235
htr SignedBeaconBlock ×1	50	547670	551752	10113	540627	581689
ForkInterface.stateRoot BeaconState	10	281525027	281775268	1527032	279705175	285126921
ForkInterface.runBlocks (whole vector)	10	359982107	362103587	8218587	353906581	385063516
