label	iterations	median_ns	mean_ns	stddev_ns	min_ns	max_ns
deserialize BeaconState	20	117764504	117997210	1949391	115956920	123083475
serialize BeaconState	20	3438916369	3414989857	85075641	3207348684	3560350717
htr BeaconState (pure)	20	164658952	164959279	1429678	162898481	168213900
FastBox.hashTreeRoot BeaconState (first root)	20	186586163	187289302	2580492	183690145	194395151
htr Validator ×1000	20	7518778	7576323	142179	7408706	7887766
htr BeaconBlockHeader ×1000	20	7295698	7338486	212960	7186426	8190338
htr Checkpoint ×1000	20	2245221	2248449	27741	2188933	2314666
htr Attestation ×1000	20	30252653	30566393	690783	29853446	32438353
serialize Validator ×1000	20	4217776	4184824	99656	4016846	4389812
serialize BeaconBlockHeader ×1000	20	4497797	4522378	120668	4396786	4885334
serialize Attestation ×1000	20	10706248	10772814	273917	10533854	11794929
deserialize Validator ×1000	20	3788528	3801744	141241	3636113	4187864
deserialize BeaconBlockHeader ×1000	20	4258932	4301145	117452	4169741	4525893
deserialize Attestation ×1000	20	11402736	11502422	539544	10967459	13462932
deserialize SignedBeaconBlock ×1	50	287928	285199	7593	264337	297014
htr SignedBeaconBlock ×1	50	543934	551617	16335	535633	606476
ForkInterface.stateRoot BeaconState	10	282842239	282417964	3652311	278121367	287286986
ForkInterface.runBlocks (whole vector)	10	363049619	364920006	9386977	357497706	390785435
